KID001,"The emerald is a bright hue of green, and it seems to shine with its own beautiful, inner light. It has been naturally shaped into a three dimensional hexagon, with, strangely enough, perfectly smooth edges."
KID002,"Small and round, this dark red garnet is one of the more common gemstones of the land, yet nonetheless, has a certain charm of its own. Like all of the garnets which are normally found, there is a tiny black splotch in its center."
KID003,"The pearl is a lovely little stone, pure white in color, with a shiny surface that reflects all surrounding light, causing it to sparkle with a special brilliance of its own."
KID004,"The aquamarine is a beautiful, light blue gem. It is shaped like a small triangle, with darker shades of blue in the center. Because of its unique shape, it also acts like a prism, refracting any light that enters it into vivid, tiny rainbows."
KID005,"The moonstone is a fascinating, milky-white precious stone no bigger than your thumb and forefinger. As you examine it, a strange tingle runs down your spine and you feel the presence of magic."
KID006,"The sapphire is a medium-sized gemstone, dark blue in color, except for a small white spot in its center which shines blazingly -- a star sapphire. One of the rarer and more beautiful jewels, you feel power in this royal treasure."
KID007,"The diamond, the legendary jewel which represents eternal love, is truly a spectacular wonder to behold. Its thousands of facets glitter dazzlingly as you examine it, almost mesmerizing you with their dancing radiance."
KID008,"The amethyst is a crystalline, purple stone. Its jagged facets refract any light into myriad, reddish-blue images which dance almost magically before your eyes."
KID009,"The onyx is a smooth, jet black rock about the size of your palm. Looking at it closely, it reminds you of a pool of inky water, reflecting surrounding images with almost mystical clarity."
KID010,"The opal, strangely enough, doesn't appear to have any color. In fact, this gem seems to be almost invisible, barely distinguishable in your hands. It has a certain, mysterious vibration to its substance."
KID011,"Dark crimson, streaked with varying shades of red, the bloodstone is a very mystifying jewel. Staring at it, you get the feeling that you are somehow gazing into another dimension."
KID012,"The elixir is a mysterious, blue-green liquid which radiates a very magical energy. A strange, sulfuric odor rises from its watery substance, making you quite nauseous."
KID013,"The staff is made from solid oak wood, topped with a silver cone. It has a certain regal bearing to its nature, as though it was the scepter of a king. Mystical symbols have been carved into it, and although they are unreadable, you feel a mysterious tingle run down your spine as you examine them."
KID014,"The key is made of solid gold, and it sparkles almost magically as you examine it. It is about the size of your fist, although it is quite heavy due to its substance. You feel a surge of emotion in your heart for a brief moment."
KID015,"The locket is made from shiny gold, polished to perfection and decorated with many intricate designs. You particularly notice a beautiful replication of a magnificent waterfall carved lovingly into its center."
KID016,"The amulet is a light-blue gemstone set in a silver pendant with a thin silver chain attached. The amulet has a mysterious glow to its stone, almost enchanting you with its soft radiance. You also notice that the gemstone has been cut in the shape of a large teardrop, as though symbolic of its origin."
KID017,"The pendant is made of dull silver with little ornamentation, except for a rough inscription which reads: "Nothing is impossible, if only you believe..."."
KID018,"The charm is a small, bright blue jewel which radiates a magical light from within, creating the image of a bright blue orb of light in your mind. You feel occasional surges of electric energy erupt from it, delivering mild shocks to you."
KID019,"The bracelet has been wrought from pure white gold, a very rare element indeed. It sparkles as you examine it closely, almost as though trying to enchant you with its dancing brilliance."
KID020,"The coronet is truly a magnificent work of incredible craftsmanship, apparently once designed to honor the greatest kings and queens of the many realms of fantasy. It has a slightly magical aurora to it."
KID021,"The tiara is a magnificent work of craftsmanship. It seems to sparkle with an almost unearthly brilliance as you examine it closely. You sense something very special and magical about this beautiful treasure."
KID022,"The necklace is a wonderfully crafted piece of jewelry, made from the finest silver and adorned with numerous precious stones, from rubies, to diamonds, to emeralds. You feel a certain sense of peace in your soul as you examine it."
KID023,"The broach sparkles with dark blue gemstones, radiating an aura of sheer magical beauty. It is something to be treasured for the rest of your mortal life."
